artist,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Big Sean,-9.186530880522524e-05,5.363994377512557e-05,4.455084942274648e-05,-4.684299856200126e-05,-1.6318814430078518e-05,3.465930192145984e-05,4.2221794234982525e-05,2.5371347067495804e-05,1.3967698730455052e-05,4.8826310573478166e-05
Biz Markie,-0.00018557967774548498,-0.008152224369012957,-0.0002465578299671525,-3.723847015976138e-05,-2.7627070212799413e-05,3.4716012570689647e-06,-4.5434281639621854e-05,-1.144499476647172e-05,-3.3744762969347407e-06,-3.2248674914969175e-05
Blackalicious,-0.00010649788061426042,4.613662825602519e-05,8.892364112035186e-05,-6.59798367043745e-05,4.140432249060906e-05,7.7106978049756e-05,4.592625811108733e-05,-6.122327216027748e-06,3.4334623012517803e-06,1.9036544086707378e-05
Bone Thugs-N-Harmony,-0.00013064839336160157,2.299465778142418e-05,0.0003330463164342146,-0.0002558783723250622,0.002824740140987305,-0.00544928872897843,-0.0002775268499451365,-6.59925915690588e-05,-2.721337675007971e-05,-6.363460811058936e-05
Brand Nubian,-0.00010101290825496176,-3.37854003935839e-05,0.000112764466777894,-6.123271292723716e-05,5.72064067079765e-05,0.00013071356063519836,9.131463418074958e-05,-0.0001877954703469725,4.765415770591408e-05,3.524296584603514e-05
Brother Ali,-9.576414764134464e-05,3.925952382502492e-05,7.508322686172003e-05,-4.557924825814009e-05,2.8310500506906274e-05,6.955835439397348e-05,3.93630317396312e-05,7.805981307809805e-06,3.6821127465518197e-06,4.2838701075293304e-05
Bun B,-0.00010386077713977582,6.25217035992882e-05,6.894245643397278e-05,-3.646403284490394e-05,6.29003029143182e-05,-8.724952809852464e-06,2.743539778092564e-05,4.440963307376591e-05,3.0559068884725415e-05,4.525498159671105e-05
Busdriver,-0.00012208169857745252,6.862336746417198e-05,0.00012868618339668603,-0.00012158149513559457,-2.1653129916591344e-05,0.00010108699616748268,0.00014926088379709984,0.0003415353661648132,-0.0048064112608375105,-0.0011123134609052543
Busta Rhymes,-0.00010610806254488357,6.753443652521106e-05,0.00010435698031501104,2.6662235184255107e-05,6.583139617318645e-05,1.7444521302636468e-06,8.045982354183329e-05,3.802511400826371e-05,5.0972028617889294e-05,7.282185955775376e-05
Cam’ron,0.011612255651720272,-8.423162006743655e-05,-4.557998689219062e-05,8.262086242977604e-05,-2.8611882750820352e-05,-0.00013839964100096277,0.0015129921465934495,-1.6709435980993364e-06,1.4524649098344337e-05,-1.900141826549112e-05
Canibus,-0.00010917329067902299,5.892098906663773e-05,9.301509361486779e-05,-7.819886287736716e-05,2.3429744016666844e-05,8.255923442436206e-05,7.420131664081851e-05,5.372805214068172e-05,2.6265827647418845e-06,0.00010156654104961822
Childish Gambino,-8.453621828900153e-05,5.354333346484257e-05,6.796722580678056e-05,-3.35375263614647e-05,-1.613152514352694e-05,6.480362158557477e-05,2.9932456667309566e-05,7.767552771803544e-06,3.5878145033403264e-06,9.065349591675319e-05
Common,-0.00012418770981003732,6.0456372846091924e-05,0.00014934798429164887,-0.00011276228606145531,7.952483847720677e-05,0.00017422920573383776,0.00015457164972121535,-2.3401428497500308e-05,7.633850000954034e-05,0.0010910908749523283
CunninLynguists,-0.00010682406931275757,4.416942230277752e-05,7.50518979781521e-05,-6.0637978416353574e-05,3.644181621009387e-05,6.735207024026296e-05,4.66313017672761e-05,1.8527809259880883e-05,-1.6906185049919776e-06,5.165600074396923e-05
Cypress Hill,-0.00011292656582190145,7.040751652740702e-05,-0.00016420927976915593,-8.256035215738908e-06,0.00012615667071261315,-5.391465076979962e-06,4.162823585899394e-05,2.0313285173778953e-05,1.7719886902516744e-05,7.854657990886377e-05
DMX,-8.018844806599189e-05,5.7798250747014804e-05,4.625457015042736e-05,-4.240073601520748e-05,4.5568584155954614e-05,5.011001846660628e-05,3.992236609508165e-05,2.6566412073379735e-05,1.1614420995424918e-05,6.542105627189617e-05
Danny Brown,8.985056542359323e-05,6.451668877726164e-05,3.252858205436721e-05,-9.608922984106061e-05,2.056911950179586e-05,0.00013976917105301765,-0.001107638863268491,2.8649363116555887e-05,-9.03484586927304e-06,4.595533168945847e-05
