artist,T0,T1,T2,T3,T4,Topic
LL Cool J,0.0,0.3954887218045113,0.40150375939849625,0.20300751879699247,0.0,T2
Lecrae,0.09733124018838304,0.2731554160125589,0.17896389324960754,0.45054945054945056,0.0,T3
Lil Baby,0.2087087087087087,0.09009009009009009,0.0,0.5285285285285285,0.17267267267267267,T3
Lil Durk,0.06451612903225806,0.06048387096774194,0.0,0.8387096774193549,0.036290322580645164,T3
Lil Peep,0.31277533039647576,0.33480176211453744,0.16299559471365638,0.1894273127753304,0.0,T1
Lil Uzi Vert,0.1456953642384106,0.10066225165562914,0.0,0.18940397350993377,0.5642384105960265,T4
Lil Wayne,0.24617737003058104,0.022935779816513763,0.0,0.42507645259938837,0.3058103975535168,T3
Lil Yachty,0.051175656984785614,0.027662517289073305,0.0,0.4896265560165975,0.4315352697095436,T3
Lil’ Kim,0.14007782101167315,0.25680933852140075,0.11802853437094682,0.4773022049286641,0.007782101167315175,T3
Logic,0.25851197982345525,0.29255989911727615,0.0,0.4489281210592686,0.0,T3
Ludacris,0.40848806366047746,0.08488063660477453,0.11007957559681697,0.39655172413793105,0.0,T0
Lupe Fiasco,0.1746987951807229,0.42409638554216866,0.08674698795180723,0.3144578313253012,0.0,T1
MC Lyte,0.49135802469135803,0.4444444444444444,0.0,0.0,0.06419753086419754,T0
MF DOOM,0.20425531914893616,0.43829787234042555,0.0,0.3574468085106383,0.0,T1
Mac Dre,0.1,0.2722222222222222,0.0,0.0,0.6277777777777778,T4
Mac Miller,0.34146341463414637,0.13170731707317074,0.03170731707317073,0.4951219512195122,0.0,T3
Machine Gun Kelly,0.42317380352644834,0.11586901763224182,0.15113350125944586,0.17380352644836272,0.13602015113350127,T0
Master P,0.21992110453648916,0.0611439842209073,0.0,0.4349112426035503,0.28402366863905326,T3
Meek Mill,0.06470588235294118,0.1423529411764706,0.0,0.528235294117647,0.2647058823529412,T3
Method Man,0.16055045871559634,0.32798165137614677,0.0,0.5114678899082569,0.0,T3
Migos,0.11774325429272281,0.13654946852003272,0.016353229762878167,0.1259198691741619,0.6034341782502044,T4
Mobb Deep,0.19235225955967555,0.1657010428736964,0.08458864426419467,0.48088064889918886,0.07647740440324449,T3
Murs,0.40979955456570155,0.31403118040089084,0.0,0.27616926503340755,0.0,T0
NF,0.3617391304347826,0.39652173913043476,0.04869565217391304,0.19304347826086957,0.0,T1
Nas,0.011799410029498525,0.43952802359882004,0.0,0.5486725663716814,0.0,T3
Nelly,0.34880239520958084,0.14221556886227546,0.17964071856287425,0.32934131736526945,0.0,T0
Nicki Minaj,0.3262108262108262,0.11823361823361823,0.0,0.0,0.5555555555555556,T4
OutKast,0.12610340479192939,0.35561160151324084,0.16897856242118536,0.3493064312736444,0.0,T1
Public Enemy,0.0,0.7861771058315334,0.0,0.21382289416846653,0.0,T1
RZA,0.07636363636363637,0.12,0.4,0.4036363636363636,0.0,T3
Raekwon,0.18760195758564438,0.17455138662316477,0.0,0.6378466557911908,0.0,T3
Redman,0.35412474849094566,0.11267605633802817,0.09859154929577464,0.4346076458752515,0.0,T3
Rich Homie Quan,0.08355795148247978,0.05390835579514825,0.029649595687331536,0.637466307277628,0.1954177897574124,T3
Rich The Kid,0.08012170385395538,0.12677484787018256,0.02332657200811359,0.4340770791075051,0.3356997971602434,T3
Rick Ross,0.10984848484848485,0.10858585858585859,0.0,0.6641414141414141,0.11742424242424243,T3
Rittz,0.3275316455696203,0.4050632911392405,0.0,0.2674050632911392,0.0,T1
"Royce da 5'9""",0.2314990512333966,0.36242884250474383,0.0,0.4060721062618596,0.0,T3
Run–D.M.C.,0.14420803782505912,0.7423167848699763,0.0,0.11347517730496454,0.0,T1
Russ,0.0,0.41700404858299595,0.1700404858299595,0.41295546558704455,0.0,T1
SUICIDEBOYS,0.6172106824925816,0.0,0.0,0.13649851632047477,0.24629080118694363,T0
Sage Francis,0.4180790960451977,0.5819209039548022,0.0,0.0,0.0,T1
Salt-N-Pepa,0.3100917431192661,0.42201834862385323,0.0,0.26788990825688075,0.0,T1
ScHoolboy Q,0.27695167286245354,0.05204460966542751,0.16356877323420074,0.5074349442379182,0.0,T3
Scarface,0.2335423197492163,0.19435736677115986,0.0,0.5721003134796239,0.0,T3
Skyzoo,0.5353535353535354,0.18181818181818182,0.0,0.2828282828282828,0.0,T0
Snoop Dogg,0.3468118195956454,0.08087091757387248,0.0,0.5723172628304821,0.0,T3
T.I.,0.14303797468354432,0.24936708860759493,0.0,0.6075949367088608,0.0,T3
Talib Kweli,0.2222222222222222,0.514336917562724,0.0,0.26344086021505375,0.0,T1
Tech N9ne,0.36164736164736166,0.1969111969111969,0.15315315315315314,0.2882882882882883,0.0,T0
The Game,0.29199372056514916,0.07692307692307693,0.0,0.631083202511774,0.0,T3
The Roots,0.16790123456790124,0.6049382716049383,0.0,0.15308641975308643,0.07407407407407407,T1
Three 6 Mafia,0.20480404551201012,0.008849557522123894,0.0,0.5929203539823009,0.1934260429835651,T3
Too short,0.15463917525773196,0.19381443298969073,0.012371134020618556,0.6391752577319587,0.0,T3
Travis Scott,0.42095914742451157,0.06039076376554174,0.16518650088809947,0.33570159857904086,0.017761989342806393,T0
Trick Daddy,0.0,0.2693798449612403,0.050387596899224806,0.6802325581395349,0.0,T3
Trina,0.16423357664233576,0.08941605839416059,0.0,0.4726277372262774,0.2737226277372263,T3
Twista,0.3328358208955224,0.3447761194029851,0.0,0.32238805970149254,0.0,T1
Tyga,0.3289630512514899,0.0631704410011919,0.0,0.6078665077473182,0.0,T3
"Tyler, The Creator",0.5036319612590799,0.13559322033898305,0.0,0.36077481840193704,0.0,T0
UGK,0.20756457564575645,0.06918819188191883,0.20571955719557194,0.5175276752767528,0.0,T3
Vince Staples,0.44468546637744033,0.05639913232104121,0.0,0.49891540130151846,0.0,T3
Wale,0.25259515570934254,0.06920415224913495,0.104959630911188,0.40369088811995385,0.1695501730103806,T3
Watsky,0.09582309582309582,0.5945945945945946,0.0,0.3095823095823096,0.0,T1
Wiz Khalifa,0.11141304347826086,0.11141304347826086,0.16304347826086957,0.6141304347826086,0.0,T3
Wu-Tang Clan,0.2900763358778626,0.24732824427480915,0.0,0.46259541984732827,0.0,T3
Xzibit,0.30303030303030304,0.19607843137254902,0.0,0.5008912655971479,0.0,T3
YG,0.2712765957446808,0.0,0.0,0.4104609929078014,0.3182624113475177,T3
Yasiin Bey,0.09892086330935251,0.6384892086330936,0.03597122302158273,0.22661870503597123,0.0,T1
Young Thug,0.19767441860465115,0.11511627906976744,0.0,0.4197674418604651,0.26744186046511625,T3
YoungBoy Never Broke Again,0.02197802197802198,0.10622710622710622,0.0,0.8717948717948718,0.0,T3
​cupcakKe,0.0,0.13553719008264462,0.07107438016528926,0.45454545454545453,0.33884297520661155,T3
